sigma;thres;pt_w;pt_h;class1;score1;class2;score2;class3;score3;class4;score4;class5;score5;class6;score6;class7;score7;class8;score8;class9;score9;class10;score10;class11;score11;class12;score12;class13;score13;class14;score14;class15;score15;class16;score16;class17;score17;class18;score18;class19;score19;class20;score20;class21;score21;class22;score22;class23;score23;class24;score24;class25;score25
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
0;0.6500;71;216;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318;nematode, nematode worm, roundworm;0.2098;spotlight, spot;0.1840;matchstick;0.0359;lampshade, lamp shade;0.0320;velvet;0.0318
