sigma;thres;pt_w;pt_h;class1;score1;x1;y1;w1;h1;class2;score2;x2;y2;w2;h2;class3;score3;x3;y3;w3;h3;class4;score4;x4;y4;w4;h4;class5;score5;x5;y5;w5;h5
70;0.0000;156;26;American alligator, Alligator mississipiensis;0.2181;0;0;227;227;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0744;0;0;227;227;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0699;0;0;227;227;African crocodile, Nile crocodile, Crocodylus niloticus;0.0607;0;0;227;227;nematode, nematode worm, roundworm;0.0509;0;0;227;227
70;0.0000;156;26;alp;0.1919;0;0;227;227;dogsled, dog sled, dog sleigh;0.1676;0;0;227;227;coyote, prairie wolf, brush wolf, Canis latrans;0.0727;0;0;227;227;snowplow, snowplough;0.0698;0;0;227;227;plow, plough;0.0278;0;0;227;227
70;0.0000;156;26;Shetland sheepdog, Shetland sheep dog, Shetland;0.5249;0;0;227;227;collie;0.4255;0;0;227;227;Pomeranian;0.0175;0;0;227;227;papillon;0.0118;0;0;227;227;borzoi, Russian wolfhound;0.0082;0;0;227;227
70;0.0000;156;26;eggnog;0.5609;0;0;227;227;consomme;0.1720;0;0;227;227;espresso;0.1275;0;0;227;227;beer glass;0.0330;0;0;227;227;soup bowl;0.0301;0;0;227;227
70;0.0000;156;26;hamster;0.0406;0;0;227;227;toaster;0.0238;0;0;227;227;binder, ring-binder;0.0229;0;0;227;227;toilet tissue, toilet paper, bathroom tissue;0.0206;0;0;227;227;Persian cat;0.0202;0;0;227;227
70;0.0000;156;26;geyser;0.0541;0;0;227;227;water snake;0.0531;0;0;227;227;American alligator, Alligator mississipiensis;0.0425;0;0;227;227;coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;0.0421;0;0;227;227;lakeside, lakeshore;0.0374;0;0;227;227
70;0.0000;156;26;tiger cat;0.2738;0;0;227;227;Egyptian cat;0.1099;0;0;227;227;tabby, tabby cat;0.0719;0;0;227;227;trilobite;0.0324;0;0;227;227;space heater;0.0262;0;0;227;227
70;0.0000;156;26;pick, plectrum, plectron;0.1763;0;0;227;227;pill bottle;0.1317;0;0;227;227;rubber eraser, rubber, pencil eraser;0.1011;0;0;227;227;Band Aid;0.0528;0;0;227;227;lipstick, lip rouge;0.0468;0;0;227;227
70;0.0000;156;26;dome;0.0546;0;0;227;227;birdhouse;0.0511;0;0;227;227;washbasin, handbasin, washbowl, lavabo, wash-hand basin;0.0452;0;0;227;227;crate;0.0367;0;0;227;227;sunscreen, sunblock, sun blocker;0.0313;0;0;227;227
70;0.0000;156;26;Pomeranian;0.2827;0;0;227;227;Angora, Angora rabbit;0.1152;0;0;227;227;tick;0.0945;0;0;227;227;Persian cat;0.0519;0;0;227;227;Samoyed, Samoyede;0.0337;0;0;227;227
70;0.0000;156;26;lemon;0.7342;0;0;227;227;Granny Smith;0.1530;0;0;227;227;brain coral;0.0249;0;0;227;227;acorn;0.0206;0;0;227;227;jackfruit, jak, jack;0.0122;0;0;227;227
70;0.0000;156;26;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;0.2414;0;0;227;227;timber wolf, grey wolf, gray wolf, Canis lupus;0.1486;0;0;227;227;white wolf, Arctic wolf, Canis lupus tundrarum;0.0569;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.0434;0;0;227;227;dhole, Cuon alpinus;0.0422;0;0;227;227
70;0.0000;156;26;guenon, guenon monkey;0.7635;0;0;227;227;langur;0.0667;0;0;227;227;patas, hussar monkey, Erythrocebus patas;0.0556;0;0;227;227;macaque;0.0139;0;0;227;227;marmoset;0.0118;0;0;227;227
